15:09:12: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:26: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:26: 1,1,1.40,980.00
15:09:26: 2,1,1.55,968.00
15:09:26: 3,1,1.61,324.00
15:09:26: 4,1,1.53,324.00
15:09:26: 5,1,1.61,700.00
15:09:26: 6,1,1.40,804.00
15:09:26: 7,1,1.61,880.00
15:09:26: 8,1,1.40,980.00
15:09:26: 9,1,1.60,444.00
15:09:26: 10,1,1.61,548.00
15:09:26: 11,1,1.37,532.00
15:09:26: 12,1,1.61,656.00
15:09:26: 13,1,1.55,352.00
15:09:26: 14,1,1.61,364.00
15:09:26: 15,1,1.55,388.00
15:09:26: 16,1,1.55,416.00
15:09:26: 

15:09:26: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:26: 1,1,1.61,892.00
15:09:26: 2,1,1.50,860.00
15:09:26: 3,1,1.61,356.00
15:09:26: 4,1,1.61,324.00
15:09:26: 5,1,1.61,720.00
15:09:26: 6,1,1.55,784.00
15:09:26: 7,1,1.61,892.00
15:09:26: 8,1,1.61,948.00
15:09:26: 9,1,1.40,476.00
15:09:26: 10,1,1.37,492.00
15:09:26: 11,1,1.61,580.00
15:09:26: 12,1,1.60,612.00
15:09:26: 13,1,1.61,364.00
15:09:26: 14,1,1.40,356.00
15:09:26: 15,1,1.40,388.00
15:09:26: 16,1,1.61,388.00
15:09:26: 

15:09:27: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:27: 1,1,1.55,976.00
15:09:27: 2,1,1.37,892.00
15:09:27: 3,1,1.61,356.00
15:09:27: 4,1,1.61,356.00
15:09:27: 5,1,1.61,732.00
15:09:27: 6,1,1.55,732.00
15:09:27: 7,1,1.61,924.00
15:09:27: 8,1,1.40,920.00
15:09:27: 9,1,1.51,492.00
15:09:27: 10,1,1.60,476.00
15:09:27: 11,1,1.40,612.00
15:09:27: 12,1,1.40,580.00
15:09:27: 13,1,1.61,372.00
15:09:27: 14,1,1.61,356.00
15:09:27: 15,1,1.61,388.00
15:09:27: 16,1,1.61,388.00
15:09:27: 

15:09:27: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:27: 1,1,1.55,968.00
15:09:27: 2,1,1.40,924.00
15:09:27: 3,1,1.40,356.00
15:09:27: 4,1,1.61,324.00
15:09:27: 5,1,1.61,732.00
15:09:27: 6,1,1.61,732.00
15:09:27: 7,1,1.40,924.00
15:09:27: 8,1,1.61,892.00
15:09:27: 9,1,1.55,492.00
15:09:27: 10,1,1.61,476.00
15:09:27: 11,1,1.61,612.00
15:09:27: 12,1,1.61,580.00
15:09:27: 13,1,1.61,356.00
15:09:27: 14,1,1.61,356.00
15:09:27: 15,1,1.61,420.00
15:09:27: 16,1,1.61,388.00
15:09:27: 

15:09:27: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:27: 1,1,1.55,924.00
15:09:27: 2,1,1.61,968.00
15:09:27: 3,1,1.50,324.00
15:09:27: 4,1,1.61,356.00
15:09:27: 5,1,1.60,732.00
15:09:28: 6,1,1.55,776.00
15:09:28: 7,1,1.50,892.00
15:09:28: 8,1,1.40,924.00
15:09:28: 9,1,1.37,472.00
15:09:28: 10,1,1.40,520.00
15:09:28: 11,1,1.45,580.00
15:09:28: 12,1,1.61,612.00
15:09:28: 13,1,1.53,356.00
15:09:28: 14,1,1.40,372.00
15:09:28: 15,1,1.61,388.00
15:09:28: 16,1,1.61,420.00
15:09:28: 

15:09:28: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:28: 1,1,1.61,844.00
15:09:28: 2,1,1.61,968.00
15:09:28: 3,1,1.50,324.00
15:09:28: 4,1,1.61,364.00
15:09:28: 5,1,1.33,700.00
15:09:28: 6,1,1.55,788.00
15:09:28: 7,1,1.50,888.00
15:09:28: 8,1,1.61,980.00
15:09:28: 9,1,1.60,420.00
15:09:28: 10,1,1.61,548.00
15:09:28: 11,1,1.60,548.00
15:09:28: 12,1,1.40,656.00
15:09:28: 13,1,1.60,356.00
15:09:28: 14,1,1.40,364.00
15:09:28: 15,1,1.55,388.00
15:09:28: 16,1,1.61,416.00
15:09:28: 

15:09:28: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:28: 1,1,1.40,892.00
15:09:28: 2,1,1.61,956.00
15:09:28: 3,1,1.61,356.00
15:09:28: 4,1,1.60,356.00
15:09:28: 5,1,1.61,700.00
15:09:28: 6,1,1.61,788.00
15:09:28: 7,1,1.40,868.00
15:09:28: 8,1,1.50,968.00
15:09:28: 9,1,1.61,444.00
15:09:28: 10,1,1.55,532.00
15:09:28: 11,1,1.53,556.00
15:09:28: 12,1,1.37,636.00
15:09:28: 13,1,1.55,364.00
15:09:28: 14,1,1.61,356.00
15:09:28: 15,1,1.61,388.00
15:09:28: 16,1,1.61,388.00
15:09:28: 

15:09:29: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:29: 1,1,1.61,844.00
15:09:29: 2,1,1.55,948.00
15:09:29: 3,1,1.61,356.00
15:09:29: 4,1,1.37,324.00
15:09:29: 5,1,1.61,728.00
15:09:29: 6,1,1.51,764.00
15:09:29: 7,1,1.37,892.00
15:09:29: 8,1,1.61,924.00
15:09:29: 9,1,1.51,476.00
15:09:29: 10,1,1.55,492.00
15:09:29: 11,1,1.37,580.00
15:09:29: 12,1,1.60,580.00
15:09:29: 13,1,1.61,388.00
15:09:29: 14,1,1.61,356.00
15:09:29: 15,1,1.61,416.00
15:09:29: 16,1,1.51,372.00
15:09:29: 

15:09:29: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:29: 1,1,1.61,956.00
15:09:29: 2,1,1.61,956.00
15:09:29: 3,1,1.61,356.00
15:09:29: 4,1,1.61,324.00
15:09:29: 5,1,1.55,732.00
15:09:29: 6,1,1.50,732.00
15:09:29: 7,1,1.61,924.00
15:09:29: 8,1,1.37,912.00
15:09:29: 9,1,1.40,492.00
15:09:29: 10,1,1.61,476.00
15:09:29: 11,1,1.40,612.00
15:09:29: 12,1,1.40,568.00
15:09:29: 13,1,1.61,372.00
15:09:29: 14,1,1.37,356.00
15:09:29: 15,1,1.40,420.00
15:09:29: 16,1,1.61,388.00
15:09:29: 

15:09:30: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:30: 1,1,1.60,844.00
15:09:30: 2,1,1.40,980.00
15:09:30: 3,1,1.61,356.00
15:09:30: 4,1,1.61,356.00
